gene,rna_lfc,rna_p,prot_lfc,prot_p,neglog10p,concordant,transcriptomic,proteomic,genomic,score
SPRED2,0.3246555378908304,2.4806107039022684e-06,-0.1915375928051658,0.0186261830522416,11.522878745280336,False,0.3246555378908304,0.1915375928051658,11.522878745280336,0.5097402597402597
HNF1B,0.1212347641759397,0.3219661370817311,0.1848369542344774,0.0006646213187722,27.154901959985743,True,0.1212347641759397,0.1848369542344774,27.154901959985743,0.5
ETAA1,0.2505961844197184,3.296901310593055e-06,0.5069662737466036,1.0184436849503923e-14,5.698970004336019,True,0.2505961844197184,0.5069662737466036,5.698970004336019,0.49891774891774887
PSMA4,0.3307843137254895,4.026346927757473e-08,0.0609051710830209,0.0004666786661069,81.52287874528034,True,0.3307843137254895,0.0609051710830209,81.52287874528034,0.4913419913419913
NFATC1,-0.7992527821939603,8.661668385010046e-16,-0.3560435118658706,3.451927594929725e-28,5.301029995663981,True,0.7992527821939603,0.3560435118658706,5.301029995663981,0.48917748917748916
HLA-DQA1,-0.4902013778484395,0.0003190634239378,-0.2650552867731853,0.0466053386377368,6.096910013008056,True,0.4902013778484395,0.2650552867731853,6.096910013008056,0.488095238095238
TP63,-0.1757896131425527,0.339843364771517,0.1207182783053521,0.4566886682312638,35.69897000433602,False,0.1757896131425527,0.1207182783053521,35.69897000433602,0.487012987012987
PIK3CB,0.2921542130365644,1.479270798191492e-07,-0.091655335761758,0.0001441597072401,19.221848749616356,False,0.2921542130365644,0.091655335761758,19.221848749616356,0.487012987012987
PDE3A,-0.4990540540540547,0.0003241457655699,-0.3570118032233728,1.4414841766002871e-08,5.522878745280337,True,0.4990540540540547,0.3570118032233728,5.522878745280337,0.4816017316017316
HLA-DRB1,-0.5085002649708521,2.0486147611055096e-05,-0.2400941106061291,0.0002203469856418,6.096910013008056,True,0.5085002649708521,0.2400941106061291,6.096910013008056,0.4686147186147186
TFPI,-0.7772125066242701,2.1446342001731783e-11,-0.3398855772841664,3.353443147267631e-06,5.221848749616356,True,0.7772125066242701,0.3398855772841664,5.221848749616356,0.4675324675324675
DOCK1,0.0409962904080529,0.5429228512800004,-0.5034971452697421,1.1467743899141133e-18,6.301029995663981,False,0.0409962904080529,0.5034971452697421,6.301029995663981,0.4653679653679654
RNLS,-0.3920588235294113,2.974533026239523e-07,-0.2098552470104953,1.4221686540813332e-05,7.0,True,0.3920588235294113,0.2098552470104953,7.0,0.4642857142857143
