gene	log2fc	pval
AC002542.1	-0.05388447270800234	0.6552341246251749
AC002542.4	0.01848966613672498	0.7428636027211092
AC002542.5	0.036210916799152115	0.5655348808282739
AC002542.6	-0.24294382617912014	0.00012042449003848303
AC002543.1	-0.9959300476947544	3.32938297779584e-39
AC002543.2	-0.03088235294117647	0.07606447359781719
AC002545.1	0.052334393216746156	0.044664972495805665
AC002546.1	-0.5811208267090615	4.04990371936404e-05
AC002550.1	0.3342872284048757	0.15775508091579174
AC002550.2	0.1911844197138315	0.06214625340603571
AC002551.1	-0.11436671966083711	0.2544111046694795
AC002553.1	-0.39209062003179707	1.867488475651209e-13
AC002553.2	-0.7286380498145206	3.9489321261011533e-16
AC002558.1	-0.060736618971911405	0.31282240410193163
AC002558.2	0.12981452040275432	0.04815569240306308
AC002558.3	-0.09462639109697868	0.08651915367093425
AC002563.1	0.8872893481717015	9.270576455705482e-07
AC002980.1	0.0	
AC002981.1	0.008198198198198198	0.33894868659982497
AC002984.1	-1.1971542130365662	1.3394461736079704e-18
AC002985.1	0.2637811340752517	0.0008508101398898698
AC002996.1	-1.034997350291464	1.012669837127255e-16
AC003001.1	0.15527291997880233	0.018215761818257972
AC003001.2	0.03393216746157922	0.5162486845290045
AC003002.1	-0.09408585055643881	0.31783665279486517
AC003002.2	0.3150980392156866	0.0025652754997356666
AC003002.3	0.05339692633810278	0.7104527000534722
AC003005.1	-0.17370694223635486	0.09185356582895621
AC003005.2	0.20388712241653417	0.11048066090888671
AC003006.1	0.048497615262321325	0.8500129095651254
AC003009.1	0.014538950715421307	0.5269530021813525
AC003035.1	-0.20141759406465454	7.083021738597027e-05
AC003035.2	-0.38604928457869636	0.0018305785014160656
AC003043.1	0.40009009009009017	2.1225888278229595e-06
AC003043.2	-0.009411764705882352	0.2979554779188762
AC003043.3	-0.11357445680975209	0.15385194440297895
AC003044.1	-0.2210174880763115	0.06479256031594985
AC003070.1	0.017347641759407395	0.8336536333866512
AC003070.2	-0.6960386857445682	1.86248446230918e-09
AC003070.7	0.0	
AC003071.1	0.1040302066772655	0.08910889494137023
AC003072.1	-0.5258267090620041	1.3621744947416975e-14
AC003072.2	-0.00024112347641759568	0.9938327646109699
AC003077.1	-1.4891255961844205	6.761438845048358e-54
AC003080.1	-1.2277318494965552	2.7412943096925194e-44
AC003084.1	0.12136195018547952	0.21992847118614625
AC003086.1	0.8685294117647051	5.289879713607458e-09
AC003087.1	0.05838367779544249	0.14881706372028733
AC003092.1	0.870426603073662	1.0847530864936252e-05
AC003092.2	0.08394806571277158	0.2929321860110907
AC003093.1	-0.12132220455749909	0.3920764969493052
AC003098.1	-0.08415209326974035	0.07571941808372977
AC003101.1	0.028887122416534017	0.8064099478740044
AC003101.2	-0.057326444091150286	0.6359199314804611
AC003101.3	-0.23928722840487537	0.2467250568524713
AC003102.1	0.22465023847376742	0.005299450453826248
AC003109.1	0.0	
AC003657.1	0.021351351351351352	0.20062067209000892
AC003657.2	-0.4066772655007949	3.2621834947515587e-06
AC003659.1	0.03908055113937466	0.2593172932919065
AC003666.1	-0.1615659777424484	0.058134010905791005
AC003669.1	0.21961314255431896	0.0008313073950289467
AC003681.1	-0.14459194488606109	0.0008913882959641151
AC003682.1	-0.31872813990461046	0.011475358935098452
AC003684.1	-0.36118706942236356	0.006247772382053887
AC003685.1	0.0	
AC003685.2	-0.009705882352941177	0.2979554779188762
AC003686.1	0.5340010598834127	3.1747836125534856e-07
AC003687.1	0.04756226815050345	0.4369382580709126
AC003688.1	-0.00026232114467408633	0.9848830593087113
AC003688.2	0.4338579756226828	0.009528497960997782
AC003688.3	-0.2710863804981452	0.0005478319603420347
AC003950.1	0.060932697403285635	0.06865154135741998
AC003956.1	0.1839401165871754	0.011135509889392482
AC003957.1	-0.7851218865924734	5.252123898195042e-08
AC003958.1	0.0	
AC003958.2	0.434175940646529	6.2419688214121205e-06
AC003965.1	0.5625649178590351	0.00017131479743693814
AC003965.2	0.515521992580816	4.569736992200698e-08
AC003973.1	0.3493640699523052	0.004877610702355943
AC003973.2	-0.0027821939586658573	0.9913001068352963
AC003975.1	-0.06942501324854522	0.2595596719923857
AC003982.1	0.06450450450450451	0.021300660209882784
AC003984.1	-0.02888447270800204	0.8209898124037088
AC003985.1	-0.04247217806041336	0.2632096921689558
AC003986.1	0.15580286168521462	0.0029653284531469806
AC003986.2	1.6360360360360362	7.130585862209587e-19
AC003986.3	0.35890567037625865	9.940993066958566e-08
AC003988.1	0.019099099099099102	0.1750837051443172
AC003989.1	-0.01750927397986235	0.8038872592720508
AC003989.2	-0.13568362480127272	0.21474779674298664
AC003991.1	-0.6312109167991498	2.2930902160532427e-11
